t,equity
0,1.002
1,1.004004
2,1.006012008
3,1.0080240320159999
4,1.010040080080032
5,1.012060160240192
6,1.0140842805606725
7,1.0161124491217939
8,1.0181446740200375
9,1.0201809633680776
10,1.0222213252948138
11,1.0242657679454035
12,1.0263142994812944
13,1.028366928080257
14,1.0304236619364175
15,1.0324845092602903
16,1.034549478278811
17,1.0366185772353687
18,1.0386918143898394
19,1.0407691980186191
20,1.0428507364146564
21,1.0449364378874857
22,1.0470263107632607
23,1.0491203633847872
24,1.0512186041115568
25,1.0533210413197798
26,1.0554276834024194
27,1.0575385387692242
28,1.0596536158467627
29,1.0617729230784563
30,1.063896468924613
31,1.0660242618624622
32,1.068156310386187
33,1.0702926230069594
34,1.0724332082529733
35,1.0745780746694793
36,1.0767272308188183
37,1.078880685280456
38,1.081038446651017
39,1.083200523544319
40,1.0853669245914075
41,1.0875376584405902
42,1.0897127337574715
43,1.0918921592249864
44,1.0940759435434364
45,1.0962640954305232
46,1.0984566236213842
47,1.100653536868627
48,1.1028548439423642
49,1.105060553630249
50,1.1072706747375094
51,1.1094852160869844
52,1.1117041865191584
53,1.1139275948921967
54,1.116155450081981
55,1.118387760982145
56,1.1206245365041094
57,1.1228657855771176
58,1.1251115171482717
59,1.1273617401825682
60,1.1296164636629333
61,1.1318756965902592
62,1.1341394479834397
63,1.1364077268794066
64,1.1386805423331654
65,1.1409579034178317
66,1.1432398192246673
67,1.1455262988631167
68,1.147817351460843
69,1.1501129861637647
70,1.1524132121360922
71,1.1547180385603644
72,1.1570274746374851
73,1.1593415295867602
74,1.1616602126459337
75,1.1639835330712256
76,1.166311500137368
77,1.1686441231376428
78,1.170981411383918
79,1.173323374206686
80,1.1756700209550994
81,1.1780213609970096
82,1.1803774037190036
83,1.1827381585264416
84,1.1851036348434945
85,1.1874738421131814
86,1.1898487897974077
87,1.1922284873770026
88,1.1946129443517566
89,1.19700217024046
90,1.199396174580941
91,1.201794966930103
92,1.204198556863963
93,1.206606953977691
94,1.2090201678856463
95,1.2114382082214175
96,1.2138610846378604
97,1.216288806807136
98,1.2187213844207503
99,1.221158827189592
100,1.223601144843971
101,1.226048347133659
102,1.2285004438279263
103,1.2309574447155822
104,1.2334193596050134
105,1.2358861983242233
106,1.2383579707208718
107,1.2408346866623137
108,1.2433163560356384
109,1.2458029887477096
110,1.2482945947252049
111,1.2507911839146553
112,1.2532927662824846
113,1.2557993518150496
114,1.2583109505186798
115,1.260827572419717
116,1.2633492275645566
117,1.2658759260196857
118,1.268407677871725
119,1.2709444932274685
120,1.2734863822139235
121,1.2760333549783514
122,1.2785854216883081
123,1.2811425925316848
124,1.2837048777167481
125,1.2862722874721817
126,1.288844832047126
127,1.2914225217112203
128,1.2940053667546427
129,1.296593377488152
130,1.2991865642431282
131,1.3017849373716144
132,1.3043885072463577
133,1.3069972842608504
134,1.3096112788293721
135,1.3122305013870308
136,1.314854962389805
137,1.3174846723145845
138,1.3201196416592138
139,1.3227598809425323
140,1.3254054007044174
141,1.3280562115058263
142,1.3307123239288379
143,1.3333737485766954
144,1.3360404960738488
145,1.3387125770659964
146,1.3413900022201284
147,1.3440727822245686
148,1.3467609277890178
149,1.349454449644596
150,1.3521533585438852
151,1.354857665260973
152,1.357567380591495
153,1.3602825153526779
154,1.3630030803833832
155,1.36572908654415
156,1.3684605447172384
157,1.371197465806673
158,1.3739398607382864
159,1.376687740459763
160,1.3794411159406825
161,1.382199998172564
162,1.384964398168909
163,1.387734326965247
164,1.3905097956191774
165,1.3932908152104158
166,1.3960773968408366
167,1.3988695516345184
168,1.4016672907377874
169,1.404470625319263
170,1.4072795665699014
171,1.4100941257030413
172,1.4129143139544473
173,1.4157401425823561
174,1.418571622867521
175,1.421408766113256
176,1.4242515836454825
177,1.4271000868127734
178,1.429954286986399
179,1.432814195560372
180,1.4356798239514927
181,1.4385511835993958
182,1.4414282859665946
183,1.4443111425385278
184,1.4471997648236048
185,1.4500941643532521
186,1.4529943526819586
187,1.4559003413873226
188,1.4588121420700972
189,1.4617297663542375
190,1.464653225886946
191,1.46758253233872
192,1.4705176974033973
193,1.473458732798204
194,1.4764056502638006
195,1.4793584615643283
196,1.482317178487457
197,1.4852818128444318
198,1.4882523764701208
199,1.491228881223061
200,1.4942113389855072
201,1.4971997616634782
202,1.5001941611868053
203,1.503194549509179
204,1.5062009386081974
205,1.5092133404854138
206,1.5122317671663845
207,1.5152562307007174
208,1.5182867431621188
209,1.521323316648443
210,1.52436596328174
211,1.5274146952083034
212,1.53046952459872
213,1.5335304636479175
214,1.5365975245752133
215,1.5396707196243637
216,1.5427500610636125
217,1.5458355611857397
218,1.5489272323081111
219,1.5520250867727274
220,1.555129136946273
221,1.5582393952201654
222,1.5613558740106057
223,1.564478585758627
224,1.5676075429301441
225,1.5707427580160045
226,1.5738842435320366
227,1.5770320120191006
228,1.5801860760431388
229,1.583346448195225
230,1.5865131410916156
231,1.5896861673737988
232,1.5928655397085463
233,1.5960512707879633
234,1.5992433733295393
235,1.6024418600761983
236,1.6056467437963506
237,1.6088580372839434
238,1.6120757533585113
239,1.6152999048652283
240,1.6185305046749587
241,1.6217675656843087
242,1.6250111008156773
243,1.6282611230173087
244,1.6315176452633433
245,1.63478068055387
246,1.6380502419149778
247,1.6413263423988078
248,1.6446089950836054
249,1.6478982130737725
250,1.65119400949992
251,1.6544963975189197
