step,price,portfolio_value,position,action_dir,reward,weight_dqn,weight_ppo,weight_a2c
0,0.0,100000.0,0.0,2,0.0,1.0,1.093271e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.0925373e-19,0.0
0,0.0,100000.0,0.0,0,0.0,1.0,1.0936881e-19,0.0
0,0.0,100000.0,0.0,2,0.0,1.0,1.0955923e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.0938216e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.0860881e-19,0.0
0,0.0,100000.0,0.0,0,0.0,1.0,1.0895573e-19,0.0
0,0.0,100000.0,0.0,0,0.0,1.0,1.0968301e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.0984211e-19,0.0
0,0.0,100000.0,0.0,0,0.0,1.0,1.1128623e-19,0.0
0,0.0,100000.0,0.0,0,0.0,1.0,1.1183607e-19,0.0
0,0.0,100000.0,0.0,0,0.0,1.0,1.1032251e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.1130321e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.1112163e-19,0.0
0,0.0,100000.0,0.0,2,0.0,1.0,1.0990918e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.0782118e-19,0.0
0,0.0,100000.0,0.0,1,0.0,1.0,1.1106739e-19,0.0
0,0.0,99989.60390792487,1.0,2,-0.0027367414043324816,1.0,1.0498495e-19,0.0
0,0.0,99981.81424620407,0.25,1,-0.00205060609342514,1.0,1.0590689e-19,0.0
0,0.0,99981.81424620407,0.25,2,0.0,1.0,1.0879956e-19,0.0
0,0.0,99981.81424620407,0.25,2,0.0,1.0,1.046922e-19,0.0
0,0.0,99981.81424620407,0.25,1,0.0,1.0,9.779553e-20,0.0
0,0.0,99981.81424620407,0.25,2,0.0,1.0,1.02631245e-19,0.0
0,0.0,99981.81424620407,0.25,1,0.0,1.0,1.0001086e-19,0.0
0,0.0,99974.02462642724,1.0,1,-0.002050595051794146,1.0,9.579138e-20,0.0
0,0.0,99974.02462642724,1.0,1,0.0,1.0,9.470572e-20,0.0
0,0.0,99974.02462642724,1.0,2,0.0,1.0,9.6308736e-20,0.0
0,0.0,99974.02462642724,1.0,2,0.0,1.0,9.5432486e-20,0.0
0,0.0,99963.6337293262,0.0,1,-0.0027353738423121624,1.0,9.804056e-20,0.0
0,0.0,99963.6337293262,0.0,0,0.0,1.0,1.0118821e-19,0.0
0,0.0,99963.6337293262,0.0,2,0.0,1.0,1.0005207e-19,0.0
0,0.0,99963.6337293262,0.0,2,0.0,1.0,9.8407765e-20,0.0
0,0.0,99963.6337293262,0.0,1,0.0,1.0,9.6727e-20,0.0
0,0.0,99963.6337293262,0.0,2,0.0,1.0,9.651175e-20,0.0
0,0.0,99963.6337293262,0.0,1,0.0,1.0,9.9178077e-20,0.0
0,0.0,99963.6337293262,0.0,2,0.0,1.0,9.980201e-20,0.0
0,0.0,99962.59774230618,-0.1,0,-0.0002727206099704204,1.0,9.918261e-20,0.0
0,0.0,99962.59774230618,-0.1,1,0.0,1.0,1.00818324e-19,0.0
0,0.0,99962.59774230618,-0.1,2,0.0,1.0,9.6504383e-20,0.0
0,0.0,99962.59774230618,-0.1,1,0.0,1.0,9.427318e-20,0.0
0,0.0,99957.40631097734,0.4,0,-0.001366629399078424,1.0,9.473751e-20,0.0
0,0.0,99957.40631097734,0.4,0,0.0,1.0,9.0042616e-20,0.0
0,0.0,99957.40631097734,0.4,1,0.0,1.0,8.987652e-20,0.0
0,0.0,99957.40631097734,0.4,2,0.0,1.0,9.4772215e-20,0.0
0,0.0,99953.57256791374,-0.35,0,-0.0010092218595133952,1.0,1.0226545e-19,0.0
0,0.0,99953.57256791374,-0.35,1,0.0,1.0,9.940078e-20,0.0
0,0.0,99953.57256791374,-0.35,1,0.0,1.0,9.529861e-20,0.0
0,0.0,99953.57256791374,-0.35,2,0.0,1.0,1.00087193e-19,0.0
0,0.0,99946.832727374,-1.0,2,-0.0017742436802609127,1.0,9.903139e-20,0.0
0,0.0,99946.832727374,-1.0,0,0.0,1.0,9.7952344e-20,0.0
0,0.0,99946.832727374,-1.0,1,0.0,1.0,1.0135201e-19,0.0
0,0.0,99938.93349845205,-0.25,0,-0.0020794493446929206,1.0,1.0432543e-19,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,1.0270174e-19,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,1.04604375e-19,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,9.892567e-20,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,1.0038391e-19,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,8.748562e-20,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,8.645319e-20,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,9.049025e-20,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,8.4481436e-20,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,8.538212e-20,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,8.396481e-20,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,8.314122e-20,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,7.948658e-20,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,8.002448e-20,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,8.086284e-20,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,8.272994e-20,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,8.428058e-20,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,8.8249845e-20,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,9.196156e-20,0.0
0,0.0,99938.93349845205,-0.25,0,0.0,1.0,8.5992714e-20,0.0
0,0.0,99938.93349845205,-0.25,2,0.0,1.0,8.421245e-20,0.0
0,0.0,99938.93349845205,-0.25,1,0.0,1.0,8.2401115e-20,0.0
0,0.0,99938.73427970205,-0.25,2,-5.244376422452031e-05,1.0,8.83981e-20,0.0
0,0.0,99938.73427970205,-0.25,2,0.0,1.0,8.9367805e-20,0.0
0,0.0,99933.54938979828,-0.75,1,-0.0013649073877008509,1.0,8.121154e-20,0.0
0,0.0,99933.54938979828,-0.75,2,0.0,1.0,1.04743335e-19,0.0
0,0.0,99930.95848978312,-1.0,2,-0.0006820469936905473,1.0,8.881452e-20,0.0
0,0.0,99930.95848978312,-1.0,2,0.0,1.0,8.865881e-20,0.0
0,0.0,99930.95848978312,-1.0,2,0.0,1.0,9.356238e-20,0.0
0,0.0,99930.95848978312,-1.0,0,0.0,1.0,8.6026835e-20,0.0
0,0.0,99930.95848978312,-1.0,1,0.0,1.0,9.259236e-20,0.0
0,0.0,99930.95848978312,-1.0,2,0.0,1.0,7.714926e-20,0.0
0,0.0,99930.95848978312,-1.0,0,0.0,1.0,8.887688e-20,0.0
0,0.0,99930.35692728312,-1.0,1,-0.00015835960177600252,1.0,8.5481193e-20,0.0
0,0.0,99930.35692728312,-1.0,2,0.0,1.0,7.373663e-20,0.0
0,0.0,99930.35692728312,-1.0,1,0.0,1.0,7.3038995e-20,0.0
0,0.0,99930.35692728312,-1.0,2,0.0,1.0,8.510117e-20,0.0
0,0.0,99930.35692728312,-1.0,1,0.0,1.0,7.38729e-20,0.0
0,0.0,99929.61632706378,-0.9340000003576279,2,-0.00019496088238678025,1.0,7.907286e-20,0.0
0,0.0,99929.61632706378,-0.9340000003576279,0,0.0,1.0,7.8927e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,1,-0.0001229364098621674,1.0,8.491957e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,8.3095566e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,8.095296e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,0,0.0,1.0,8.607673e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,7.177728e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,6.562977e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,6.6634814e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,6.58987e-20,0.0
0,0.0,99929.1493270636,-0.9340000003576279,2,0.0,1.0,6.666431e-20,0.0
0,0.0,99929.05446768856,-0.9340000003576279,1,-2.4971458253252753e-05,1.0,6.0980756e-20,0.0
0,0.0,99926.4441252438,-0.6840000003576279,0,-0.000687165157488926,1.0,6.679769e-20,0.0
0,0.0,99926.4441252438,-0.6840000003576279,1,0.0,1.0,5.924272e-20,0.0
0,0.0,99926.4441252438,-0.6840000003576279,2,0.0,1.0,7.033208e-20,0.0
0,0.0,99923.85316356432,-0.9340000003576279,1,-0.0006820632266465766,1.0,6.96029e-20,0.0
0,0.0,99923.85316356432,-0.9340000003576279,1,0.0,1.0,6.408794e-20,0.0
0,0.0,99923.85316356432,-0.9340000003576279,1,0.0,1.0,6.2364035e-20,0.0
0,0.0,99923.85316356432,-0.9340000003576279,0,0.0,1.0,6.156885e-20,0.0
0,0.0,99923.85316356432,-0.9340000003576279,0,0.0,1.0,7.2456227e-20,0.0
0,0.0,99923.85316356432,-0.9340000003576279,2,0.0,1.0,7.4041046e-20,0.0
0,0.0,99922.20293550122,-1.0,2,-0.00043441780182677716,1.0,8.1545565e-20,0.0
0,0.0,99922.20293550122,-1.0,2,0.0,1.0,8.185473e-20,0.0
0,0.0,99922.20293550122,-1.0,0,0.0,1.0,8.275393e-20,0.0
0,0.0,99922.20293550122,-1.0,1,0.0,1.0,8.7173805e-20,0.0
0,0.0,99922.20293550122,-1.0,0,0.0,1.0,8.094925e-20,0.0
0,0.0,99922.20293550122,-1.0,2,0.0,1.0,7.410886e-20,0.0
0,0.0,99922.20293550122,-1.0,2,0.0,1.0,8.163147e-20,0.0
0,0.0,99922.20293550122,-1.0,2,0.0,1.0,6.7992624e-20,0.0
0,0.0,99922.20293550122,-1.0,1,0.0,1.0,6.615965e-20,0.0
0,0.0,99922.20293550122,-1.0,0,0.0,1.0,6.746659e-20,0.0
0,0.0,99922.20293550122,-1.0,1,0.0,1.0,6.601746e-20,0.0
0,0.0,99917.0078146449,-0.5,2,-0.001367600656600077,1.0,6.719741e-20,0.0
0,0.0,99917.0078146449,-0.5,0,0.0,1.0,6.7161534e-20,0.0
0,0.0,99917.0078146449,-0.5,2,0.0,1.0,7.19187e-20,0.0
0,0.0,99917.0078146449,-0.5,1,0.0,1.0,7.4671875e-20,0.0
0,0.0,99914.41337730784,-0.25,2,-0.0006829781835293479,1.0,7.1246966e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,8.3777964e-20,0.0
0,0.0,99914.41337730784,-0.25,2,0.0,1.0,7.913925e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,8.5206414e-20,0.0
0,0.0,99914.41337730784,-0.25,0,0.0,1.0,8.864663e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,8.944966e-20,0.0
0,0.0,99914.41337730784,-0.25,2,0.0,1.0,9.887888e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,9.878689e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,9.7264246e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,7.949507e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,7.5898726e-20,0.0
0,0.0,99914.41337730784,-0.25,2,0.0,1.0,7.435466e-20,0.0
0,0.0,99914.41337730784,-0.25,0,0.0,1.0,7.4550053e-20,0.0
0,0.0,99914.41337730784,-0.25,1,0.0,1.0,6.95806e-20,0.0
0,0.0,99914.41337730784,-0.25,2,0.0,1.0,6.473563e-20,0.0
0,0.0,99906.49629330361,-1.0,1,-0.0020841496438616844,1.0,6.8809846e-20,0.0
0,0.0,99905.45947993918,-0.9,0,-0.00027293814276700316,1.0,8.033524e-20,0.0
0,0.0,99905.45947993918,-0.9,0,0.0,1.0,7.857732e-20,0.0
0,0.0,99905.45947993918,-0.9,2,0.0,1.0,8.006479e-20,0.0
0,0.0,99905.45947993918,-0.9,1,0.0,1.0,7.3170626e-20,0.0
0,0.0,99905.45947993918,-0.9,2,0.0,1.0,7.259899e-20,0.0
0,0.0,99905.45947993918,-0.9,1,0.0,1.0,7.2705415e-20,0.0
0,0.0,99905.45947993918,-0.9,1,0.0,1.0,8.6045214e-20,0.0
0,0.0,99905.45947993918,-0.9,0,0.0,1.0,8.673066e-20,0.0
0,0.0,99905.45947993918,-0.9,2,0.0,1.0,9.261073e-20,0.0
0,0.0,99905.45947993918,-0.9,2,0.0,1.0,9.1769524e-20,0.0
0,0.0,99904.42069445607,-1.0,2,-0.0002734572973470999,1.0,9.784926e-20,0.0
0,0.0,99904.42069445607,-1.0,1,0.0,1.0,8.615426e-20,0.0
0,0.0,99904.42069445607,-1.0,2,0.0,1.0,8.706082e-20,0.0
0,0.0,99904.42069445607,-1.0,2,0.0,1.0,7.95776e-20,0.0
0,0.0,99904.42069445607,-1.0,0,0.0,1.0,7.5575143e-20,0.0
