date,tic,close,ma20_lag
2016-01-01,SPY,199.5282394231048,
2016-01-04,SPY,200.58859536376858,
2016-01-05,SPY,200.17518996173155,
2016-01-06,SPY,199.584536186813,
2016-01-07,SPY,197.76828060244168,
2016-01-08,SPY,197.38599066465574,
2016-01-11,SPY,199.62023700062102,
2016-01-12,SPY,200.5068436641036,
2016-01-13,SPY,202.62595854653154,
2016-01-14,SPY,203.17082527602068,
2016-01-15,SPY,204.01351616565978,
2016-01-18,SPY,204.4324103052253,
2016-01-19,SPY,201.06732500959902,
2016-01-20,SPY,202.82716871961486,
2016-01-21,SPY,203.89482019911222,
2016-01-22,SPY,204.95266330518305,
2016-01-25,SPY,201.52715714263098,
2016-01-26,SPY,198.05305442756583,
2016-01-27,SPY,196.3307546754049,
2016-01-28,SPY,195.45082128798362,
2016-01-29,SPY,196.08690815186895,200.6752193963886
2016-02-01,SPY,196.0360986406582,200.5031528328268
2016-02-02,SPY,197.0966047261478,200.2755279966713
2016-02-03,SPY,195.87020116071892,200.12159873489207
2016-02-04,SPY,196.5140326802999,199.9358819835874
2016-02-05,SPY,197.32790434430194,199.87316958748028
2016-02-08,SPY,196.06276145244811,199.8702652714626
2016-02-09,SPY,199.46941137368614,199.69239149405396
2016-02-10,SPY,200.61957066176055,199.6405198795331
2016-02-11,SPY,203.06112134512517,199.54020048529452
2016-02-12,SPY,201.84207859717242,199.53471528874977
2016-02-15,SPY,200.38979275639525,199.4261434103254
2016-02-16,SPY,199.7404362875862,199.2240125328839
2016-02-17,SPY,199.56781794292556,199.15766809678325
2016-02-18,SPY,200.86915726565582,198.99470055794876
2016-02-19,SPY,201.40834482777262,198.84341741127596
2016-02-22,SPY,200.54761640674505,198.66620148740543
2016-02-23,SPY,198.66866109387388,198.61722445061113
2016-02-24,SPY,197.674145027299,198.64800478392652
2016-02-25,SPY,200.1271256269889,198.71517430152124
2016-02-26,SPY,198.55023108853592,198.9489895184715
2016-02-29,SPY,199.07591019315913,199.07215566530485
2016-03-01,SPY,199.96482190617687,199.22414624292992
2016-03-02,SPY,197.02585266407357,199.36755710193137
2016-03-03,SPY,197.16076485139703,199.4253396770991
2016-03-04,SPY,199.77559687656935,199.45767628565397
2016-03-07,SPY,195.79134464186404,199.58006091226733
2016-03-08,SPY,195.20084998550539,199.56649007173812
2016-03-09,SPY,195.0327055961776,199.35306200232907
2016-03-10,SPY,193.4777872576904,199.07371874904996
2016-03-11,SPY,194.47882200285105,198.5945520446782
2016-03-14,SPY,194.3965965612414,198.22638921496213
2016-03-15,SPY,191.58823318773852,197.9267294052044
2016-03-16,SPY,193.2126061264951,197.51911925021207
2016-03-17,SPY,194.5444895777583,197.20135865939056
2016-03-18,SPY,196.42348156292599,196.8851252749957
2016-03-21,SPY,199.29243785353694,196.63588211175332
2016-03-22,SPY,200.05422058271498,196.57312318409294
2016-03-23,SPY,200.33284439867109,196.642401158535
2016-03-24,SPY,197.77025058988897,196.77533612710357
2016-03-25,SPY,199.02696822403183,196.65749237524858
2016-03-28,SPY,197.849208387136,196.6813292320234
2016-03-29,SPY,196.99311110406404,196.6199941417222
2016-03-30,SPY,194.54096494082484,196.4714086016166
2016-03-31,SPY,192.69746688475135,196.34716421545414
2016-04-01,SPY,191.7125494865669,196.12399931712184
2016-04-04,SPY,194.22175530903522,195.72084694762174
2016-04-05,SPY,190.3144174813128,195.64236748098028
2016-04-06,SPY,187.57825653192268,195.39804585577068
2016-04-07,SPY,188.06474279679838,195.02532340255792
2016-04-08,SPY,190.81678774817038,194.7546711795133
2016-04-11,SPY,191.95882040364637,194.5715694667793
2016-04-12,SPY,188.35010346499016,194.44968065889955
2016-04-13,SPY,183.64467557782788,194.2877741727621
2016-04-14,SPY,184.33774547026013,193.80937764532877
2016-04-15,SPY,183.0174043588884,193.29904043995384
2016-04-18,SPY,181.00460351853158,192.62873657975197
2016-04-19,SPY,182.80989137967092,191.7143448630017
2016-04-20,SPY,184.86062752104525,190.85212840284947
2016-04-21,SPY,185.1882964595167,190.0785175589682
2016-04-22,SPY,185.68048345129236,189.44941985244958
2016-04-25,SPY,186.52414651321155,188.7820956138126
2016-04-26,SPY,189.53465380509124,188.21584252011638
2016-04-27,SPY,190.74583445598682,187.84291965516775
2016-04-28,SPY,191.7732860138995,187.65316313092586
2016-04-29,SPY,192.86205501478767,187.60695408738326
2016-05-02,SPY,189.87595152297797,187.66442936379428
