t,equity
0,0.9947583845603226
1,1.0093694076276138
2,0.9952629920657579
3,1.0083045870925218
4,0.9985835413351503
5,0.9978200527225886
6,0.9788608049964548
7,0.914452044090312
8,0.9149863782191968
9,0.9032599367264277
10,0.8801750116695648
11,0.9001451822959948
12,0.9242268072756337
13,0.903913186842718
14,0.9065730809723633
15,0.8765720917649399
16,0.8729436604531471
17,0.8659132869076052
18,0.85537217544329
19,0.8578749800968056
20,0.8625988736068703
21,0.8649926107524628
22,0.8776200201332947
23,0.8901424690679037
24,0.8855693779198383
25,0.8783472721685455
26,0.8784761030549099
27,0.8867152473331528
28,0.8864467318687361
29,0.8938546564279543
30,0.9064058112449401
31,0.8982716476412619
32,0.8828598519946642
33,0.886348270713282
34,0.8890799874838262
35,0.9105010899289987
36,0.9156035200182933
37,0.9210519972542992
38,0.9262220852507721
39,0.9239018620832806
40,0.918707239044905
41,0.9366752411030494
42,0.9377823555172754
43,0.9457946242839018
44,0.9549149684832715
45,0.9694682843082127
46,0.9773196782734932
47,0.9643603767764141
48,0.9656993532567418
49,0.9733510026345004
50,0.9525220147986097
51,0.9411208045534978
52,0.9321286719654133
53,0.9443470739589103
54,0.9442705489809095
55,0.9523954907711377
56,0.9365221343905878
57,0.9444640122891084
58,0.9369508823037105
59,0.9530971580060276
60,0.9597786203536849
61,0.9880914748168934
62,0.9891276939094991
63,0.9831726422458186
64,0.9619376439645785
65,0.9328344170565631
66,0.9330390137112199
67,0.9507936040136084
68,0.9460523760180779
69,0.9551148583586675
70,0.9652290565519688
71,0.9697586066559656
72,0.9629363300162714
73,0.9738727924786821
74,0.9666671990436667
75,0.9570070964147198
76,0.9468476125122001
77,0.9360035334727266
78,0.9380062884420933
79,0.9368750518043059
80,0.9323677097212163
81,0.9412542784941538
82,0.9789253882826389
83,0.9766743775347945
84,0.9695441571371485
85,0.9692380893559114
86,0.9616089853337807
87,0.9624387312503332
88,0.9605489378388418
89,0.9341839137398951
90,0.9358141392582157
91,0.930372374954244
92,0.9520107410630178
93,0.9637331391219143
94,0.978345301720949
95,1.0040345068346095
96,1.0108742600213676
97,1.0133158674310256
98,1.03116692516362
99,1.0226261674206651
100,1.0137747379763342
101,1.025529335477754
102,1.0226793516931671
103,1.0159024198277238
104,1.0105286444608088
105,0.9998076633358249
106,1.0000413611210768
107,0.9995483103345881
108,1.0028234629353507
109,1.0034636908232417
110,0.996465499618892
111,1.0035629328840991
112,1.005095782925661
113,1.0147681480345139
114,0.9961571625731576
115,1.010250768129911
116,1.0139759719190724
117,1.0118919233413248
118,1.0278408584692618
119,1.0392601031369657
120,0.9963019228560659
121,0.9732810623524688
122,0.9612773105075556
123,0.9482026907106259
124,0.963481000234806
125,0.9456559836109573
126,0.9380086490706908
127,0.9240246098812118
128,0.934603026299403
129,0.9215157332129158
130,0.9272432363656173
131,0.937444594780523
132,0.9445391586390862
133,0.9306728839708919
134,0.9345083225030417
135,0.9320471897696367
136,0.9373149413461
137,0.938142900254058
138,0.9393320441338886
139,0.934493782254432
140,0.9545254171097739
141,0.9548940452296794
142,0.9656918438962596
143,0.974104076798541
144,0.9804820719966292
145,0.9792280574489616
146,0.9850007839715056
147,0.9804510238487499
148,0.9885693494819584
149,0.9936844516137633
150,1.026642796719546
151,1.0267757019057417
152,1.0553171463611284
153,1.0443844898992178
154,1.0512728527132105
155,1.065194378773784
156,1.0611302356007792
157,1.0383704990100664
158,1.0203931311238905
159,1.0275672083112586
160,1.024688520863495
161,1.0345579450020002
162,1.029432776439424
163,1.0237896230691985
164,1.0139457912962713
165,1.0309361263099535
166,1.0576037844259976
167,1.0595413948878225
168,1.0529042849934709
169,1.0479879966853307
170,1.0633502866277635
171,1.0797065197247464
172,1.096527759955387
173,1.1026756438706817
174,1.1287458311552367
175,1.120908559512838
176,1.120534812152596
177,1.1397419339063153
178,1.1428154222495488
179,1.1458774750819534
180,1.1611623832477878
181,1.1699829996041116
182,1.16369190431549
183,1.1590840681697336
184,1.1662222394665032
185,1.1328705614645875
186,1.1744375352691092
187,1.1546362755806874
188,1.164468214707878
189,1.1457210986737631
190,1.1178302336299395
191,1.1432786168353541
192,1.1654713446875042
193,1.1724472832220183
194,1.2091788243991228
195,1.2348930595433145
196,1.2610014842130508
197,1.2432204836539125
198,1.2304737169923317
199,1.2439753389327461
200,1.2593361221915946
201,1.2312414321862999
202,1.2202759086146797
203,1.2101874405920847
204,1.1989761540795505
205,1.187537161791747
206,1.2018499778229965
207,1.1853864311544262
208,1.1608083199261903
209,1.1637269608881229
210,1.1440942993452454
211,1.157558309055783
212,1.1694649126021008
213,1.1761722509149348
214,1.1985106267026775
215,1.2138900550942215
216,1.1885470884904308
217,1.1973566280703205
218,1.1792568926684575
219,1.177910173870642
220,1.1579103583580557
221,1.1681746175011227
222,1.1736644010933657
223,1.1933767703983331
224,1.1979887176184372
225,1.2393239214581984
226,1.2472649821732509
227,1.22753660313989
228,1.2559723769731126
229,1.2424165657952673
230,1.1922810167218356
231,1.188423219910942
232,1.1898363643276706
233,1.204017228617845
234,1.2003992892199984
235,1.2046072512715527
236,1.2145850766482442
237,1.1874652709648108
238,1.197406867681839
239,1.2106419359297858
240,1.2323771488320663
241,1.2191748849155937
242,1.2137169763441775
243,1.1910940200378368
244,1.1941348737397037
245,1.2089014477518103
246,1.170657738833958
247,1.173837354742218
248,1.1880407428253266
249,1.1908212796473572
250,1.1931459146266719
251,1.2346749351387887
252,1.2212761513162955
253,1.228736107367757
254,1.2003095846459304
255,1.2011683568293838
256,1.21575018442437
257,1.1994409156882682
258,1.2047547432492214
259,1.1821129596844284
260,1.1922517824505119
261,1.1989489918156002
262,1.2303208685254516
263,1.2066976132625342
264,1.2116705499296774
265,1.1935580190096746
266,1.2213114825580114
267,1.1729819531442294
268,1.1634229217831291
269,1.191062263865374
270,1.2175830958883889
271,1.224345565473881
272,1.2208978967662751
273,1.2155099443178083
274,1.2088282101893533
275,1.2130773451793333
276,1.2369740895666448
277,1.2562181808178172
278,1.2266062978821703
279,1.2151082165607712
280,1.19225815563001
281,1.175233536187876
282,1.1970477441329637
283,1.2181458375236047
284,1.2403761055498879
285,1.2376215373704984
286,1.251663432546014
287,1.279906157825348
288,1.2703098896816907
289,1.282977646317169
290,1.299050664335756
291,1.2908521496983962
292,1.2768041115645326
293,1.291054644438823
294,1.2894184471114492
295,1.2817912873865864
296,1.3148348769530616
297,1.304138492023958
298,1.2913526111612093
299,1.2962903672574797
300,1.326061518690961
301,1.3432120402091086
302,1.33222500091237
303,1.3749282445997513
304,1.3469829255233792
305,1.3203373144761135
