t,equity
0,1.0081831064442686
1,1.0023213505350093
2,1.0105234528378002
3,1.004648089738325
4,1.0128692319956847
5,1.006980230118935
6,1.0152204565292724
7,1.0093177842148655
8,1.017577139079189
9,1.0116607645932472
10,1.0199392923154038
11,1.0140091838503835
12,1.022306928937297
13,1.016363054611819
14,1.0246800616737295
15,1.0187223895324058
16,1.027058703283109
17,1.0210872012963728
18,1.0294428665534612
19,1.023457502617393
20,1.0318325643024966
21,1.0258333062386533
22,1.0342278093776802
23,1.028214624932921
24,1.0366286146563006
25,1.0306014715026133
26,1.039034993045539
27,1.0329938587798673
28,1.0414469574825387
29,1.0353917996266073
30,1.0438645209344746
31,1.0377953069346146
32,1.046287696398623
33,1.0402043936255974
34,1.0487164969024314
35,1.0426190726512592
36,1.051150935503589
37,1.0450393569933691
38,1.053591025290096
39,1.0474652596638316
40,1.0560367793803342
41,1.049896793704756
42,1.0584882109231384
43,1.0523339721885272
44,1.0609453330978658
45,1.0547768082178755
46,1.0634081591144682
47,1.0572253149259474
48,1.0658767022135618
49,1.0596795054763761
50,1.0683509756664993
51,1.0621393930633523
52,1.0708309927754405
53,1.0646049909116944
54,1.0733167668734243
55,1.0670763122769207
56,1.0758083113244403
57,1.0695533704453206
58,1.078305639523501
59,1.072036178734025
60,1.0808087648967124
61,1.0745247504910784
62,1.083317700901348
63,1.0770190990955115
64,1.0858324610259202
65,1.0795192379574121
66,1.0883530587902532
67,1.0820251805179972
68,1.0908795077455549
69,1.0845369402496863
70,1.0934118214744908
71,1.0870545306561723
72,1.095950013591256
73,1.0895779652724953
74,1.0984940977416497
75,1.092107257665115
76,1.1010440876031469
77,1.0946424214319834
78,1.1035999968849732
79,1.0971834702026184
80,1.1061618393281785
81,1.0997304176381768
82,1.10872962870571
83,1.1022832774315272
84,1.1113033788224866
85,1.1048420633073248
86,1.113883103515474
87,1.107406789022084
88,1.1164688166537573
89,1.1099774683642534
90,1.1190605321386178
91,1.112554115154289
92,1.1216582639036057
